Song Name,Artist,Genre,Popularity,Danceability ,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
DAYWALKER! (feat. CORPSE),Machine Gun Kelly,"['ohio hip hop', 'pop rap']",74,0.632,0.922,-2.173,0.0794,0.00558,0.0927,88.972,137747,0.497
La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers","['latin', 'reggaeton', 'trap latino']",82,0.845,0.677,-4.798,0.136,0.269,0.108,90.013,219048,0.68
All We Got (feat. KIDDO),Robin Schulz,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",74,0.504,0.76,-4.246,0.0426,0.286,0.151,183.933,190218,0.64
Say So,Doja Cat,"['dance pop', 'pop']",82,0.787,0.673,-4.583,0.159,0.264,0.0904,110.962,237893,0.779
Hope,XXXTENTACION,"['emo rap', 'miami hip hop']",84,0.592,0.457,-6.081,0.0603,0.661,0.146,146.04,110886,0.225
The Less I Know The Better,Tame Impala,"['australian psych', 'neo-psychedelic']",84,0.64,0.74,-4.083,0.0284,0.0115,0.167,116.879,216320,0.785
I Feel It Coming,"The Weeknd, Daft Punk","['canadian contemporary r&b', 'canadian pop', 'pop']",80,0.773,0.819,-5.946,0.118,0.428,0.0679,92.987,269187,0.585
Mood Swings (feat. Lil Tjay),Pop Smoke,['brooklyn drill'],82,0.48,0.602,-6.335,0.368,0.487,0.0848,179.798,213333,0.269
Someone To You,BANNERS,"['indie cafe pop', 'indie poptimism', 'modern rock', 'pop', 'pop rock']",79,0.52,0.903,-5.497,0.042,0.00517,0.254,74.988,219801,0.652
To the Bone,Pamungkas,['indonesian pop'],81,0.668,0.727,-6.55,0.027,0.514,0.1,139.991,344571,0.939
How You Like That,BLACKPINK,"['k-pop', 'k-pop girl group']",79,0.812,0.761,-5.222,0.0812,0.0465,0.0601,130.032,182956,0.344
LOST,"NF, Hopsin","['hip hop', 'pop rap', 'rap']",66,0.637,0.912,-3.123,0.308,0.352,0.0657,116.919,234852,0.451
AP - Music from the film Boogie,Pop Smoke,['brooklyn drill'],75,0.751,0.744,-6.859,0.177,0.152,0.252,148.014,171892,0.634
Life's A Mess II (with Clever & Post Malone),Juice WRLD,"['chicago rap', 'melodic rap']",72,0.53,0.37,-9.989,0.0279,0.806,0.112,140.061,206734,0.701
CHIAMAMI PER NOME,"Francesca Michielin, Fedez","['italian adult pop', 'italian indie pop', 'italian pop', 'italian pop rock']",67,0.641,0.636,-4.318,0.0414,0.289,0.125,89.826,222667,0.285
Antes,"Anuel AA, Ozuna","['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",73,0.817,0.737,-5.453,0.102,0.046,0.092,93.985,206587,0.67
Mona Lisa,"Booba, JSX","['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']",72,0.784,0.529,-7.681,0.0742,0.683,0.118,134.041,187362,0.246
Real As It Gets (feat. EST Gee),Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",74,0.779,0.705,-5.891,0.163,0.00471,0.0971,140.005,192804,0.196
Se Te Nota (with Guaynaa),Lele Pons,"['latin pop', 'viral pop']",77,0.905,0.686,-3.152,0.0664,0.0907,0.266,103.013,155825,0.963
Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead","['edm', 'new french touch', 'pop dance', 'tropical house']",79,0.798,0.828,-5.36,0.193,0.0247,0.121,124.962,156960,0.6
