Song Name,Artist,Genre,Popularity,Danceability ,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Beggin',M?neskin,"['indie rock italiano', 'italian pop']",100,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560,0.589
STAY (with Justin Bieber),The Kid LAROI,['australian hip hop'],99,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806,0.478
good 4 u,Olivia Rodrigo,['pop'],99,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147,0.688
Bad Habits,Ed Sheeran,"['pop', 'uk pop']",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041,0.591
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"['lgbtq+ hip hop', 'pop rap']",96,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000,0.894
MONTERO (Call Me By Your Name),Lil Nas X,"['lgbtq+ hip hop', 'pop rap']",97,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876,0.758
Kiss Me More (feat. SZA),Doja Cat,"['dance pop', 'pop']",94,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867,0.742
Todo De Ti,Rauw Alejandro,"['puerto rican pop', 'trap latino']",95,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604,0.342
Yonaguni,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",96,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710,0.44
I WANNA BE YOUR SLAVE,M?neskin,"['indie rock italiano', 'italian pop']",95,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347,0.958
Levitating (feat. DaBaby),Dua Lipa,"['dance pop', 'pop', 'uk pop']",89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915
Qu? M?s Pues?,"J Balvin, Maria Becerra","['latin', 'reggaeton', 'reggaeton colombiano']",95,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773,0.768
Permission to Dance,BTS,"['k-pop', 'k-pop boy group']",95,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585,0.646
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"['canadian pop', 'pop', 'post-teen pop']",94,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082,0.464
Butter,BTS,"['k-pop', 'k-pop boy group']",95,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442,0.695
traitor,Olivia Rodrigo,['pop'],94,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227,0.0849
deja vu,Olivia Rodrigo,['pop'],93,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507,0.178
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014,0.593
AM Remix,"Nio Garcia, J Balvin, Bad Bunny","['latin', 'reggaeton', 'trap latino']",93,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335,0.785
Need To Know,Doja Cat,"['dance pop', 'pop']",90,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560,0.194
Volando - Remix,"Mora, Bad Bunny, Sech","['reggaeton', 'trap latino']",91,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474,0.632
Ain't Shit,Doja Cat,"['dance pop', 'pop']",90,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253,0.619
drivers license,Olivia Rodrigo,['pop'],92,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013,0.137
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",85,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805,0.531
Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",92,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040,0.334
happier,Olivia Rodrigo,['pop'],92,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,175933,0.338
Pepas,Farruko,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",92,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,287120,0.442
Motley Crew,Post Malone,"['dfw rap', 'melodic rap', 'rap']",90,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,184213,0.288
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers","['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",92,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,169153,0.801
Astronaut In The Ocean,Masked Wolf,['australian hip hop'],89,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780,0.472
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic","['dance pop', 'pop', 'post-teen pop']",92,0.586,0.616,-7.964,0.0324,0.182,0.0927,148.088,242096,0.719
Don't Go Yet,Camila Cabello,"['dance pop', 'electropop', 'pop', 'post-teen pop']",88,0.666,0.796,-6.967,0.103,0.0492,0.0442,110.108,164842,0.61
favorite crime,Olivia Rodrigo,['pop'],91,0.369,0.272,-10.497,0.0364,0.866,0.147,172.929,152667,0.218
Pareja Del A?o,"Sebastian Yatra, Myke Towers","['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",91,0.715,0.622,-5.102,0.046,0.163,0.0948,80.015,195053,0.808
Watermelon Sugar,Harry Styles,"['pop', 'post-teen pop']",90,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,174000,0.557
RAPSTAR,Polo G,['chicago rap'],89,0.789,0.536,-6.862,0.242,0.41,0.129,81.039,165926,0.437
You Right,"Doja Cat, The Weeknd","['dance pop', 'pop']",89,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,186173,0.436
911 - Remix,"Sech, Jhay Cortez","['latin', 'panamanian pop', 'reggaeton', 'trap latino']",89,0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,208631,0.784
D?KITI,"Bad Bunny, Jhay Cortez","['latin', 'reggaeton', 'trap latino']",86,0.731,0.573,-10.059,0.0544,0.401,0.113,109.928,205090,0.145
Mi?nteme,"TINI, Maria Becerra","['latin pop', 'pop argentino']",90,0.85,0.541,-4.522,0.0674,0.161,0.286,92.003,165275,0.916
"jealousy, jealousy",Olivia Rodrigo,['pop'],90,0.695,0.575,-6.334,0.116,0.198,0.0614,163.929,173160,0.699
Poblado - Remix,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander","['latin', 'reggaeton', 'reggaeton colombiano']",89,0.813,0.809,-5.382,0.0846,0.102,0.377,93.005,393280,0.646
Dynamite,BTS,"['k-pop', 'k-pop boy group']",89,0.746,0.765,-4.41,0.0993,0.0112,0.0936,114.044,199054,0.737
The Business,Ti?sto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",90,0.798,0.62,-7.079,0.232,0.414,0.112,120.031,164000,0.235
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",89,0.595,0.784,-4.878,0.102,0.216,0.0608,124.111,183726,0.479
Mood (feat. iann dior),24kGoldn,['cali rap'],89,0.701,0.716,-3.671,0.0361,0.174,0.324,91.007,140533,0.732
Entre Nosotros,"Tiago PZK, LIT killah",['trap argentino'],89,0.729,0.513,-6.345,0.0455,0.494,0.137,170.064,192353,0.789
Fiel - Remix,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers","['latin', 'latin hip hop', 'reggaeton', 'trap latino']",89,0.839,0.711,-4.733,0.0473,0.398,0.118,97.99,349547,0.573
"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam","['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",88,0.627,0.849,-3.167,0.153,0.0913,0.145,89.907,158087,0.818
NDA,Billie Eilish,"['electropop', 'pop']",84,0.765,0.373,-9.921,0.0713,0.341,0.112,85.016,195777,0.554
Rasputin,"Majestic, Boney M.","['house', 'pop dance', 'uk dance']",49,0.83,0.839,-6.985,0.0699,0.00201,0.0353,128.012,345543,0.59
Leave Before You Love Me (with Jonas Brothers),Marshmello,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",89,0.721,0.738,-4.77,0.0403,0.00226,0.118,119.976,154983,0.637
Freaks,Surf Curse,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",89,0.345,0.941,-9.918,0.0466,3.84E-05,0.0511,179.626,147062,0.407
2/Catorce,"Rauw Alejandro, Mr. Naisgai","['puerto rican pop', 'trap latino']",87,0.54,0.455,-5.988,0.224,0.675,0.12,83.876,212032,0.432
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,"['pop', 'pop rock']",88,0.713,0.676,-5.483,0.027,0.0377,0.154,99.048,227395,0.721
Run,OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']",88,0.682,0.72,-8.173,0.0381,0.326,0.148,117.003,169011,0.673
Thot Shit,Megan Thee Stallion,"['houston rap', 'pop', 'pop rap', 'trap queen']",88,0.95,0.693,-3.424,0.0898,0.0133,0.173,130.02,184635,0.891
Your Love (9PM),"ATB, Topic, A7S","['german dance', 'german techno', 'german trance', 'trance']",88,0.669,0.784,-5.603,0.112,0.194,0.115,125.993,150053,0.517
brutal,Olivia Rodrigo,['pop'],89,0.672,0.526,-6.446,0.0599,0.0311,0.28,123.999,143747,0.28
Save Your Tears,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014,0.593
Heartbreak Anniversary,Giveon,"['pop', 'r&b']",87,0.449,0.465,-8.964,0.0791,0.524,0.303,89.087,198371,0.543
Sweater Weather,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",87,0.612,0.807,-2.81,0.0336,0.0495,0.101,124.053,240400,0.398
Sobrio,Maluma,"['latin', 'reggaeton', 'reggaeton colombiano']",87,0.762,0.77,-2.758,0.223,0.138,0.15,177.998,201181,0.631
Someone You Loved,Lewis Capaldi,"['pop', 'uk pop']",86,0.501,0.405,-5.679,0.0319,0.751,0.105,109.891,182161,0.446
Over The Top (feat. Drake),Smiley,"['canadian hip hop', 'toronto rap']",83,0.833,0.498,-5.196,0.117,0.0493,0.119,139.928,153406,0.259
2055,Sleepy Hallow,"['brooklyn drill', 'nyc rap']",85,0.829,0.512,-5.865,0.187,0.492,0.12,80.511,123987,0.638
EL MAKINON,"KAROL G, Mariah Angeliq","['latin', 'reggaeton', 'reggaeton colombiano']",87,0.635,0.706,-3.224,0.125,0.256,0.108,88.863,209160,0.443
Loco,"Justin Quiles, Chimbala, Zion & Lennox","['latin', 'reggaeton', 'trap latino']",87,0.77,0.899,-2.981,0.0494,0.222,0.0894,128.05,231604,0.851
Love Tonight - Edit,Shouse,['aussietronica'],87,0.727,0.681,-7.114,0.0265,0.00214,0.0861,123.028,241970,0.448
ZITTI E BUONI,M?neskin,"['indie rock italiano', 'italian pop']",86,0.625,0.939,-3.115,0.0669,0.00138,0.424,102.999,194787,0.644
telepat?a,Kali Uchis,"['colombian pop', 'pop']",88,0.653,0.524,-9.016,0.0502,0.112,0.203,83.97,160191,0.553
Botella Tras Botella,"Gera MX, Christian Nodal","['mexican hip hop', 'rap conciencia']",87,0.727,0.546,-4.572,0.0437,0.656,0.122,106.891,197333,0.69
Fiel,"Los Legendarios, Wisin, Jhay Cortez","['reggaeton', 'trap latino']",88,0.849,0.701,-4.407,0.06,0.407,0.112,98.005,261667,0.505
Dance Monkey,Tones And I,"['australian pop', 'pop']",83,0.824,0.588,-6.4,0.0924,0.692,0.149,98.027,209438,0.513
WITHOUT YOU,The Kid LAROI,['australian hip hop'],87,0.662,0.413,-7.357,0.0299,0.213,0.134,93.005,161385,0.467
Wants and Needs (feat. Lil Baby),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",87,0.578,0.449,-6.349,0.286,0.0618,0.119,136.006,192956,0.1
Bezos I,Bo Burnham,['comic'],84,0.694,0.948,-5.307,0.0361,0.00936,0.139,115.044,58149,0.705
Goosebumps - Remix,"Travis Scott, HVME","['rap', 'slap house']",87,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803,0.808
Head & Heart (feat. MNEK),Joel Corry,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",87,0.734,0.874,-3.158,0.0662,0.168,0.0489,122.953,166028,0.905
BED,"Joel Corry, RAYE, David Guetta","['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",87,0.671,0.782,-4.593,0.0341,0.0142,0.333,123.989,178088,0.618
Iko Iko (My Bestie),"Justin Wellington, Small Jam","['melanesian pop', 'pacific islands pop', 'png pop']",87,0.862,0.753,-5.356,0.0625,0.131,0.077,105.039,182857,0.827
Better Believe,"Belly, The Weeknd, Young Thug","['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul', 'underground hip hop']",80,0.797,0.573,-7.85,0.319,0.159,0.144,124.995,206629,0.445
Arcade,Duncan Laurence,['dutch pop'],84,0.45,0.329,-12.603,0.0441,0.818,0.135,71.884,183624,0.266
512,"Mora, Jhay Cortez","['reggaeton', 'trap latino']",87,0.818,0.673,-7.542,0.148,0.348,0.172,87.961,193636,0.695
positions,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",86,0.737,0.802,-4.771,0.0878,0.468,0.0931,144.015,172325,0.682
Circles,Post Malone,"['dfw rap', 'melodic rap', 'rap']",87,0.695,0.762,-3.497,0.0395,0.192,0.0863,120.042,215280,0.553
Blaues Licht,"RAF Camora, Bonez MC",['german hip hop'],78,0.819,0.835,-4.899,0.102,0.398,0.252,144.955,144264,0.703
Ram Pam Pam,"Natti Natasha, Becky G","['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",86,0.908,0.813,-2.749,0.0777,0.305,0.278,97.018,200785,0.924
Woman,Doja Cat,"['dance pop', 'pop']",86,0.824,0.764,-4.175,0.0854,0.0888,0.117,107.998,172627,0.881
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",85,0.39,0.83,-5.201,0.0563,0.0021,0.156,90.021,168030,0.191
Clash (feat. Stormzy),Dave,['uk hip hop'],79,0.871,0.519,-6.549,0.258,0.313,0.0869,140.013,251733,0.532
Before You Go,Lewis Capaldi,"['pop', 'uk pop']",83,0.459,0.575,-4.858,0.0573,0.604,0.0885,111.881,215107,0.183
Levitating,Dua Lipa,"['dance pop', 'pop', 'uk pop']",89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915
Reckless,Madison Beer,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",86,0.386,0.426,-6.642,0.0363,0.807,0.14,180.104,203385,0.261
Believer,Imagine Dragons,"['modern rock', 'pop', 'rock']",86,0.776,0.78,-4.374,0.128,0.0622,0.081,124.949,204347,0.666
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,"['pop rap', 'rap', 'trap']",82,0.799,0.66,-6.153,0.079,0.256,0.111,140.04,195429,0.471
Talking to the Moon,Bruno Mars,"['dance pop', 'pop', 'post-teen pop']",83,0.523,0.606,-4.754,0.0301,0.512,0.106,145.837,217867,0.065
Roses - Imanbek Remix,SAINt JHN,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",72,0.769,0.719,-5.472,0.0474,0.0143,0.359,121.955,176867,0.863
Sal y Perrea,Sech,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",86,0.786,0.899,-0.515,0.127,0.192,0.299,90.025,216510,0.813
Fulanito,"Becky G, El Alfa","['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",86,0.93,0.837,-4.632,0.187,0.256,0.239,111.898,158532,0.821
lovely (with Khalid),Billie Eilish,"['electropop', 'pop']",86,0.351,0.296,-10.109,0.0333,0.934,0.095,115.284,200186,0.12
double take,dhruv,"['chill r&b', 'nyc pop']",86,0.663,0.434,-11.177,0.0648,0.828,0.249,109.075,171743,0.225
Streets,Doja Cat,"['dance pop', 'pop']",86,0.749,0.463,-8.433,0.0842,0.21,0.338,90.035,226987,0.189
By Your Side (feat. Tom Grennan),Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",85,0.733,0.96,-3.597,0.0295,0.0514,0.287,124.01,189672,0.811
MORENA,Luan Santana,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",85,0.526,0.731,-4.662,0.0887,0.18,0.0891,86.959,193221,0.476
Shape of You,Ed Sheeran,"['pop', 'uk pop']",85,0.825,0.652,-3.183,0.0802,0.581,0.0931,95.977,233713,0.931
Se?orita,"Shawn Mendes, Camila Cabello","['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",82,0.759,0.54,-6.039,0.0287,0.037,0.0945,116.947,190960,0.75
Perfect,Ed Sheeran,"['pop', 'uk pop']",86,0.599,0.448,-6.312,0.0232,0.163,0.106,95.05,263400,0.168
2:50 Remix,"MYA, TINI, Duki",['latin pop'],85,0.818,0.812,-4.425,0.0475,0.112,0.234,139.966,231708,0.844
LA NOCHE DE ANOCHE,"Bad Bunny, ROSAL?A","['latin', 'reggaeton', 'trap latino']",86,0.856,0.618,-4.892,0.286,0.0303,0.0866,81.993,203201,0.391
ROCKSTAR (feat. Roddy Ricch),DaBaby,"['north carolina hip hop', 'rap']",86,0.746,0.69,-7.956,0.164,0.247,0.101,89.977,181733,0.497
Heather,Conan Gray,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",86,0.357,0.425,-7.301,0.0333,0.584,0.322,102.078,198040,0.27
you broke me first,Tate McRae,"['alt z', 'dance pop', 'pop', 'post-teen pop']",86,0.667,0.373,-9.389,0.05,0.785,0.0906,124.148,169266,0.0823
The Nights,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",85,0.527,0.835,-5.298,0.0433,0.0166,0.249,125.983,176658,0.654
Riptide,Vance Joy,"['folk-pop', 'modern rock', 'pop', 'pop rock']",78,0.484,0.731,-6.694,0.0379,0.431,0.151,101.654,204280,0.51
Smells Like Teen Spirit,Nirvana,"['grunge', 'permanent wave', 'rock']",77,0.502,0.912,-4.556,0.0564,2.55E-05,0.106,116.761,301920,0.72
enough for you,Olivia Rodrigo,['pop'],86,0.638,0.259,-10.706,0.0898,0.753,0.219,88.485,202827,0.269
Daddy Issues,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",85,0.588,0.521,-9.461,0.0329,0.0678,0.123,85.012,260173,0.337
Miss The Rage (feat. Playboi Carti),Trippie Redd,"['melodic rap', 'rap', 'trap']",85,0.584,0.859,-5.616,0.121,0.0144,0.847,77.005,236883,0.369
Memories,Maroon 5,"['pop', 'pop rock']",85,0.775,0.327,-7.241,0.0557,0.841,0.0821,91.05,189486,0.595
Another Love,Tom Odell,['pop'],67,0.445,0.537,-8.532,0.04,0.695,0.0941,122.764,244360,0.131
Here's Your Perfect,Jamie Miller,['pop soul'],85,0.558,0.454,-5.335,0.0551,0.499,0.146,113.12,158594,0.424
Take Me To Church,Hozier,"['irish singer-songwriter', 'modern rock', 'pop']",74,0.566,0.664,-5.303,0.0464,0.634,0.116,128.945,241693,0.437
Little Bit of Love,Tom Grennan,"['modern rock', 'uk pop']",80,0.689,0.706,-4.48,0.0312,0.0833,0.105,106.52,226268,0.623
Ficha Limpa,Gusttavo Lima,"['sertanejo', 'sertanejo universitario']",85,0.774,0.732,-4.227,0.0308,0.108,0.243,135.005,192725,0.734
Up,Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']",83,0.868,0.795,-6.044,0.269,0.0012,0.0461,166,156945,0.819
Haw?i,Maluma,"['latin', 'reggaeton', 'reggaeton colombiano']",77,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,200482,0.609
New Normal,Khalid,['pop'],79,0.39,0.534,-9.575,0.0709,0.0807,0.184,92.047,198765,0.244
Bohemian Rhapsody - Remastered 2011,Queen,"['classic rock', 'glam rock', 'rock']",74,0.392,0.402,-9.961,0.0536,0.288,0.243,143.883,354320,0.228
Bandido,"Myke Towers, Juhn",['trap latino'],85,0.713,0.617,-4.637,0.0887,0.122,0.0962,168.021,232853,0.682
Paradise (feat. Dermot Kennedy),MEDUZA,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",85,0.632,0.595,-7.644,0.0401,0.0689,0.209,124.114,167903,0.435
goosebumps,Travis Scott,"['rap', 'slap house']",87,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803,0.808
Wasted Love (feat. Lagique),Ofenbach,"['edm', 'new french touch', 'pop dance', 'tropical house']",85,0.734,0.855,-4.578,0.135,0.0821,0.0901,121.955,139563,0.54
KESI - Remix,"Camilo, Shawn Mendes","['colombian pop', 'reggaeton colombiano']",83,0.871,0.815,-4.439,0.0477,0.127,0.094,122.959,176575,0.823
Shallow,"Lady Gaga, Bradley Cooper","['dance pop', 'pop', 'post-teen pop']",83,0.572,0.385,-6.362,0.0308,0.371,0.231,95.799,215733,0.323
Tell Em,"Cochise, $NOT","['plugg', 'vapor trap', 'viral rap']",85,0.672,0.717,-7.476,0.226,0.103,0.398,157.905,180380,0.473
Counting Stars,OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']",74,0.664,0.705,-4.972,0.0382,0.0654,0.115,122.017,257840,0.477
Yellow,Coldplay,"['permanent wave', 'pop']",85,0.429,0.661,-7.227,0.0281,0.00239,0.234,173.372,266773,0.285
Wake Me Up,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",84,0.532,0.783,-5.697,0.0523,0.0038,0.161,124.08,247427,0.643
Baby Me Atende,"Matheus Fernandes, Dilsinho","['forro', 'sertanejo pop']",83,0.65,0.792,-3.825,0.0393,0.607,0.92,154.027,225672,0.872
What You Know Bout Love,Pop Smoke,['brooklyn drill'],85,0.709,0.548,-8.493,0.353,0.65,0.133,83.995,160000,0.543
Runaway,AURORA,"['art pop', 'norwegian pop']",77,0.521,0.277,-10.34,0.0356,0.634,0.103,115.01,248827,0.13
Red Light Green Light,DaBaby,"['north carolina hip hop', 'rap']",84,0.933,0.656,-5.85,0.322,0.129,0.161,119.987,159083,0.934
Ball If I Want To,DaBaby,"['north carolina hip hop', 'rap']",84,0.902,0.669,-5.049,0.457,0.161,0.0728,139.949,112547,0.628
Lucid Dreams,Juice WRLD,"['chicago rap', 'melodic rap']",85,0.511,0.566,-7.23,0.2,0.349,0.34,83.903,239836,0.218
Calling My Phone,"Lil Tjay, 6LACK","['brooklyn drill', 'melodic rap', 'nyc rap']",85,0.907,0.393,-7.636,0.0539,0.451,0.135,104.949,205458,0.202
Cover Me In Sunshine,"P!nk, Willow Sage Hart","['dance pop', 'pop', 'post-teen pop']",83,0.476,0.594,-6.879,0.135,0.0599,0.0785,159.702,141050,0.314
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,['brooklyn drill'],84,0.823,0.586,-6.606,0.2,0.114,0.193,125.971,190476,0.347
"1 step forward, 3 steps back",Olivia Rodrigo,['pop'],85,0.473,0.203,-12.627,0.102,0.941,0.126,168.884,163587,0.419
WAP (feat. Megan Thee Stallion),Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']",84,0.935,0.454,-7.509,0.375,0.0194,0.0824,133.073,187541,0.357
Mr. Brightside,The Killers,"['dance rock', 'modern rock', 'permanent wave', 'rock']",75,0.356,0.924,-3.74,0.0808,0.00101,0.0953,148.017,222587,0.232
Every Breath You Take,The Police,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",83,0.82,0.452,-9.796,0.0348,0.543,0.0714,117.401,253920,0.74
Dreams - 2004 Remaster,Fleetwood Mac,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",84,0.828,0.492,-9.744,0.0276,0.0644,0.128,120.151,257800,0.789
Say You Won't Let Go,James Arthur,"['pop', 'post-teen pop', 'talent show', 'uk pop']",84,0.358,0.557,-7.398,0.059,0.695,0.0902,85.043,211467,0.494
Wild Side (feat. Cardi B),Normani,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",75,0.74,0.576,-6.744,0.146,0.0249,0.104,110.095,209476,0.315
Bout A Million (feat. 42 Dugg & 21 Savage),Pop Smoke,['brooklyn drill'],81,0.716,0.67,-6.995,0.101,0.526,0.13,145.043,203586,0.411
Demeanor (feat. Dua Lipa),Pop Smoke,['brooklyn drill'],81,0.675,0.608,-6.934,0.103,0.336,0.11,99.865,184800,0.728
death bed (coffee for your head),"Powfu, beabadoobee",['sad rap'],85,0.726,0.431,-8.765,0.135,0.731,0.696,144.026,173333,0.348
Our Song,"Anne-Marie, Niall Horan","['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",83,0.595,0.759,-4.245,0.0423,0.141,0.172,80.953,163733,0.515
Another One Bites The Dust - Remastered 2011,Queen,"['classic rock', 'glam rock', 'rock']",74,0.933,0.528,-6.472,0.162,0.112,0.163,109.975,214653,0.756
One Dance,"Drake, WizKid, Kyla","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",84,0.792,0.625,-5.609,0.0536,0.00776,0.329,103.967,173987,0.37
Adore You,Harry Styles,"['pop', 'post-teen pop']",84,0.676,0.771,-3.675,0.0483,0.0237,0.102,99.048,207133,0.569
Fancy Like,Walker Hayes,"['contemporary country', 'country', 'country road', 'modern country rock']",83,0.649,0.76,-6.487,0.0574,0.114,0.317,80.018,161853,0.843
C?rame,Rauw Alejandro,"['puerto rican pop', 'trap latino']",85,0.765,0.625,-3.599,0.0548,0.584,0.112,102.101,164706,0.262
All of Me,John Legend,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",84,0.422,0.264,-7.064,0.0322,0.922,0.132,119.93,269560,0.331
Martin & Gina,Polo G,['chicago rap'],85,0.832,0.534,-7.813,0.253,0.345,0.165,93.924,132833,0.116
Dior,Pop Smoke,['brooklyn drill'],83,0.548,0.805,-5.732,0.351,0.212,0.408,142.094,216387,0.648
Best Friend (feat. Doja Cat),Saweetie,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']",83,0.84,0.766,-4.12,0.136,0.00302,0.0684,94.018,155884,0.402
The Hills,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",84,0.585,0.564,-7.063,0.0515,0.0671,0.135,113.003,242253,0.137
Good Days,SZA,"['pop', 'pop rap', 'r&b']",84,0.436,0.655,-8.37,0.0583,0.499,0.688,121.002,279204,0.412
Kiss My (Uh Oh),"Anne-Marie, Little Mix","['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",78,0.638,0.878,-3.639,0.0484,0.0151,0.308,103.948,176800,0.481
De Museo,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",83,0.592,0.494,-10.618,0.0747,0.237,0.13,132.037,209771,0.231
7 rings,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",85,0.778,0.317,-10.732,0.334,0.592,0.0881,140.048,178627,0.327
N?o Nasceu pra Namorar,"MC Zaquin, MC Rick","['funk bh', 'funk carioca']",84,0.525,0.448,-4.075,0.0443,0.14,0.0922,83.406,140308,0.527
Breaking Me,"Topic, A7S","['dance pop', 'edm', 'german dance', 'pop dance', 'pop edm', 'tropical house']",84,0.789,0.72,-5.652,0.218,0.223,0.129,122.031,166794,0.664
